Sample_ID	collection_date	env_broad_scale	env_local_scale	env_medium	sample_name	Sitename	depth
SRR17937072	2020-08	Freshwater biome	Freshwater|Shark River Slough 3	Freshwater|marsh	SRS3_R3_F8	SRS3	27mm
SRR17937073	2020-08	Freshwater biome	Freshwater|Shark River Slough 3	Freshwater|marsh	SRS3_R3_F6	SRS3	45mm
SRR17937074	2020-08	Freshwater biome	Freshwater|Shark River Slough 3	Freshwater|marsh	SRS3_R3_F4	SRS3	63mm
SRR17937075	2020-08	Freshwater biome	Freshwater|Shark River Slough 3	Freshwater|marsh	SRS3_R3_F2	SRS3	81mm
SRR17937076	2020-08	Freshwater biome	Freshwater|Shark River Slough 3	Freshwater|marsh	SRS3_R3_F10	SRS3	09mm
SRR17937077	2020-08	Freshwater biome	Freshwater|Shark River Slough 1	Freshwater|marsh	SRS1_R1_F8	SRS1	27mm
SRR17937078	2020-08	Freshwater biome	Freshwater|Shark River Slough 3	Freshwater|marsh	SRS3_R2_F8	SRS3	27mm
SRR17937079	2020-08	Freshwater biome	Freshwater|Shark River Slough 3	Freshwater|marsh	SRS3_R2_F6	SRS3	45mm
SRR17937080	2020-08	Freshwater biome	Freshwater|Shark River Slough 3	Freshwater|marsh	SRS3_R2_F4	SRS3	63mm
SRR17937081	2020-08	Freshwater biome	Freshwater|Shark River Slough 3	Freshwater|marsh	SRS3_R2_F2	SRS3	81mm
SRR17937082	2020-08	Freshwater biome	Freshwater|Shark River Slough 3	Freshwater|marsh	SRS3_R2_F10	SRS3	09mm
SRR17937083	2020-08	Freshwater biome	Freshwater|Shark River Slough 3	Freshwater|marsh	SRS3_R1_F8	SRS3	09mm
SRR17937084	2020-08	Freshwater biome	Freshwater|Shark River Slough 3	Freshwater|marsh	SRS3_R1_F6	SRS3	27mm
SRR17937085	2020-08	Freshwater biome	Freshwater|Shark River Slough 3	Freshwater|marsh	SRS3_R1_F4	SRS3	45mm
SRR17937086	2020-08	Freshwater biome	Freshwater|Shark River Slough 3	Freshwater|marsh	SRS3_R1_F2	SRS3	63mm
SRR17937087	2020-08	Freshwater biome	Freshwater|Shark River Slough 3	Freshwater|marsh	SRS3_R1_F1	SRS3	81mm
SRR17937088	2020-08	Mangrove biome	Mangrove|Taylor Slough 07	Mangrove|marsh	TS7_R2_F2	TS7	45mm
SRR17937089	2020-08	Mangrove biome	Mangrove|Taylor Slough 07	Mangrove|marsh	TS7_R2_F1	TS7	63mm
SRR17937090	2020-08	Mangrove biome	Mangrove|Taylor Slough 07	Mangrove|marsh	TS7_R1_F7	TS7	09mm
SRR17937091	2020-08	Mangrove biome	Mangrove|Taylor Slough 07	Mangrove|marsh	TS7_R1_F5	TS7	27mm
SRR17937092	2020-08	Mangrove biome	Mangrove|Taylor Slough 07	Mangrove|marsh	TS7_R1_F3	TS7	45mm
SRR17937093	2020-08	Mangrove biome	Mangrove|Taylor Slough 07	Mangrove|marsh	TS7_R1_F1	TS7	63mm
SRR17937094	2020-08	Freshwater biome	Freshwater|Shark River Slough 2	Freshwater|marsh	SRS2_R1_F6	SRS2	45mm
SRR17937095	2020-08	Mangrove biome	Mangrove|Taylor Slough 06	Mangrove|marsh	TS6_R3_F9	TS6	09mm
SRR17937096	2020-08	Mangrove biome	Mangrove|Taylor Slough 06	Mangrove|marsh	TS6_R3_F7	TS6	27mm
SRR17937097	2020-08	Mangrove biome	Mangrove|Taylor Slough 06	Mangrove|marsh	TS6_R3_F5	TS6	45mm
SRR17937098	2020-08	Mangrove biome	Mangrove|Taylor Slough 06	Mangrove|marsh	TS6_R3_F3	TS6	63mm
SRR17937099	2020-08	Mangrove biome	Mangrove|Taylor Slough 06	Mangrove|marsh	TS6_R3_F1	TS6	81mm
SRR17937100	2020-08	Mangrove biome	Mangrove|Taylor Slough 06	Mangrove|marsh	TS6_R2_F9	TS6	09mm
