Sample_ID	collection_date	env_broad_scale	env_local_scale	env_medium	sample_name	Sitename	depth
SRR24906822	2017-08	Seagrass biome	wetland water	surface water	pre-TS9-0.22	TS9	surface
SRR24906823	2017-08	Mangrove biome	wetland water	surface water	pre-TS7-0.22	TS7	surface
SRR24906824	2017-08	Freshwater biome	wetland water	surface water	pre-SRS2-0.22	SRS2	surface
SRR24906825	2017-08	Freshwater biome	wetland water	surface water	pre-SRS1d-0.22	SRS1	surface
SRR26124586	2019-08	Freshwater biome	wetland water	surface water	TS03_07_2019	TS3	surface
SRR26124591	2019-08	Freshwater biome	wetland water	surface water	TS02_08_2019	TS2	surface
SRR26124598	2019-08	Seagrass biome	wetland water	surface water	TS11_06_2019	TS11	surface
SRR26124602	2019-08	Seagrass biome	wetland water	surface water	TS10_06_2019	TS10	surface
SRR26124607	2019-08	Freshwater biome	wetland water	surface water	TS01_08_2019	TS1	surface
SRR26124612	2019-08	Mangrove biome	wetland water	surface water	SRP462015	SRS6	surface
SRR26124621	2019-08	Mangrove biome	wetland water	surface water	SRP462015	SRS5	surface
SRR26124630	2019-08	Mangrove biome	wetland water	surface water	SRS04_08_2019	SRS4	surface
SRR26124639	2019-08	Freshwater biome	wetland water	surface water	SRS03_08_2019	SRS3	surface
SRR26124646	2019-08	Freshwater biome	wetland water	surface water	SRS02_08_2019	SRS2	surface
SRR26124654	2019-08	Freshwater biome	wetland water	surface water	SRS01_08_2019	SRS1	surface
SRR26124680	2019-08	Seagrass biome	wetland water	surface water	TS09_06_2019	TS9	surface
SRR26124689	2019-08	Mangrove biome	wetland water	surface water	TS06_06_2019	TS6	surface
